-11.60662	-5.50044E-7
-11.60448	-5.50044E-7
-11.60235	-5.79439E-7
-11.60022	-7.71365E-7
-11.59809	-3.67997E-6
-11.59595	7.66425E-7
-11.59382	3.63827E-7
-11.59169	2.96E-7
-11.58956	3.00791E-7
-11.58742	3.26295E-7
-11.58529	3.50129E-7
-11.58316	3.63827E-7
-11.58103	3.68222E-7
-11.57889	3.67632E-7
-11.57676	3.65577E-7
-11.57463	3.63846E-7
-11.5725	3.6286E-7
-11.57036	3.62473E-7
-11.56823	3.62416E-7
-11.5661	3.62454E-7
-11.56397	3.62435E-7
-11.56183	3.62319E-7
-11.5597	3.62165E-7
-11.55757	3.6203E-7
-11.55544	3.61915E-7
-11.5533	3.61799E-7
-11.55117	3.61684E-7
-11.54904	3.6153E-7
-11.54691	3.61376E-7
-11.54477	3.61222E-7
-11.54264	3.61049E-7
-11.54051	3.60838E-7
-11.53838	3.60647E-7
-11.53624	3.60474E-7
-11.53411	3.6034E-7
-11.53198	3.60168E-7
-11.52985	3.59938E-7
-11.52772	3.59632E-7
-11.52558	3.59327E-7
-11.52345	3.59117E-7
-11.52132	3.58984E-7
-11.51919	3.5885E-7
-11.51705	3.58698E-7
-11.51492	3.58546E-7
-11.51279	3.58394E-7
-11.51066	3.58204E-7
-11.50852	3.57995E-7
-11.50639	3.57786E-7
-11.50426	3.57577E-7
-11.50213	3.57369E-7
-11.49999	3.57179E-7
-11.49786	3.56952E-7
-11.49573	3.56725E-7
-11.4936	3.56517E-7
-11.49146	3.56347E-7
-11.48933	3.56196E-7
-11.4872	3.56026E-7
-11.48507	3.558E-7
-11.48293	3.55574E-7
-11.4808	3.55367E-7
-11.47867	3.5516E-7
-11.47654	3.54953E-7
-11.4744	3.54747E-7
-11.47227	3.54522E-7
-11.47014	3.54278E-7
-11.46801	3.54034E-7
-11.46587	3.53847E-7
-11.46374	3.53698E-7
-11.46161	3.53548E-7
-11.45948	3.53398E-7
-11.45734	3.53193E-7
-11.45521	3.52932E-7
-11.45308	3.52783E-7
-11.45095	3.52745E-7
-11.44881	3.52652E-7
-11.44668	3.52447E-7
-11.44455	3.52224E-7
-11.44242	3.52001E-7
-11.44028	3.51815E-7
-11.43815	3.51666E-7
-11.43602	3.51499E-7
-11.43389	3.51295E-7
-11.43175	3.51073E-7
-11.42962	3.5085E-7
-11.42749	3.5061E-7
-11.42536	3.50388E-7
-11.42322	3.50258E-7
-11.42109	3.50203E-7
-11.41896	3.50129E-7
-11.41683	3.50055E-7
-11.41469	3.5E-7
-11.41256	3.49631E-7
-11.41043	3.49023E-7
-11.4083	3.48711E-7
-11.40616	3.48821E-7
-11.40403	3.49097E-7
-11.4019	3.4917E-7
-11.39977	3.4895E-7
-11.39763	3.48619E-7
-11.3955	3.48307E-7
-11.39337	3.47922E-7
-11.39124	3.47482E-7
-11.3891	3.47226E-7
-11.38697	3.473E-7
-11.38484	3.47354E-7
-11.38271	3.4708E-7
-11.38057	3.4677E-7
-11.37844	3.46624E-7
-11.37631	3.46515E-7
-11.37418	3.46752E-7
-11.37204	3.47391E-7
-11.36991	3.47537E-7
-11.36778	3.46733E-7
-11.36565	3.45714E-7
-11.36351	3.45024E-7
-11.36138	3.44734E-7
-11.35925	3.44969E-7
-11.35712	3.45423E-7
-11.35498	3.45659E-7
-11.35285	3.45441E-7
-11.35072	3.45078E-7
-11.34859	3.44752E-7
-11.34645	3.44516E-7
-11.34432	3.44299E-7
-11.34219	3.44119E-7
-11.34006	3.43974E-7
-11.33792	3.43884E-7
-11.33579	3.43793E-7
-11.33366	3.43631E-7
-11.33153	3.43487E-7
-11.32939	3.43469E-7
-11.32726	3.43451E-7
-11.32513	3.43216E-7
-11.323	3.42892E-7
-11.32086	3.42479E-7
-11.31873	3.41815E-7
-11.3166	3.41833E-7
-11.31447	3.42317E-7
-11.31233	3.42659E-7
-11.3102	3.42623E-7
-11.30807	3.41672E-7
-11.30594	3.40474E-7
-11.30381	3.40064E-7
-11.30167	3.40207E-7
